Relative_Path,Bytes,SHA256
.gitattributes,139,1ece4a254c611f3a27ba201175482e2d83d52a4b72b9be462b1c50a7d8cd329b
.gitignore,158,baee2add722553ce900beb53baf81fad463edaccbdc513b2977c5d1714bc00de
CHANGELOG.md,792,fcb584f511195e7ba07d7a2389948bc5796feb7dabeeb65f97dff8467a877709
CITATION.cff,861,1504d3d5dcea83fade2f25f7031177de6edb7dacf4f3e378d8b055429e80b000
code/build_source_index.py,2071,3c9423080fb1598de00a91c765e0cd331a2520936afad02c9318a58031275601
code/frozen_original/README.md,2857,08ae2cac1f94f6c93d4092a76948a1e2f88bb14c56dd204b11463afe722b63fe
code/frozen_original/scripts/00_environment_check.py,2102,f1f375c84b79ef734fb176185d0be31c4fcabc996e34993f2a245279ee223a40
code/frozen_original/scripts/01_data_audit.py,9058,1bb5526d99371a5a8cdfe56f70078ede210cc0156849c2f99c2c7c4ba5f96f26
code/frozen_original/scripts/02_build_source_folds.py,9782,7e6c109a3387d9294fcb75a1531e46292528501cb3f7bbb5647ffc7b2767b3ae
code/frozen_original/scripts/03_single_target_baselines.py,8756,1e014b7de55da30d9ca1ec03234ae29f0a5bc6e8bcca761913a2c6cb68a1839f
code/frozen_original/scripts/04_single_target_nested_optuna.py,5895,19b87259dc0b94a045a1d1d854abc555cdaa29ac078f6dcab9d52386f8928155
code/frozen_original/scripts/05_eda_prior_and_single_eval.py,3940,a1b817c9a57c9fc66a0c6ed25ad9701ed30d5e1629e3d985d7b5d7545f51bd42
code/frozen_original/scripts/06_multioutput_baselines.py,5214,3264ed2511e5bcdb86a2b051ae7d2697a9dbae91dce18b01e083d67ed3087e7b
code/frozen_original/scripts/07_single_target_xgb_nested_optuna.py,5499,254631a6f2ebc7013f517228df7bc4782e481a97b3860f960baa23ad9a3246e0
code/frozen_original/scripts/08_partial_label_mtl.py,7868,6758683154cb8e0f40b9dc54f14d2eada3f7499e115e94e2f81ce9bc693e7b93
code/frozen_original/scripts/09_process_feature_sensitivity.py,2710,76241e1352b9a006ab699f18dce1b91c9fc6798a9ad5c7d4a2d7328f8cfe3df5
code/frozen_original/scripts/10_solution_complete_subset.py,2459,1bd36a1ae4cea95093337f8e464d23b4ddc60c69bddddbd2afd983db233aec9a
code/frozen_original/scripts/11_selective_mtl_ys_uts.py,4919,ac0124971611e95db2d296912e2b3641dd3ed442a1efe7ac5a26e4bd7c116652
code/frozen_original/scripts/12_rf_xgb_ensemble.py,1469,df61c8cadd4d1e79fc7b34f5246ce5b5f9d7ebf0b113ebb517f553b004cfe96f
code/frozen_original/scripts/13_model_credibility.py,15598,5391b1320570a2a330ca4953d7f3ec959f54eb4dd33af4c7a3b8d9f89c9d691f
code/frozen_original/scripts/14_strict_fold_augmentation_ablation.py,22601,63f6fc119976837350e4b7caf9a56ac8af113a675f064230421c56e560c671ab
code/frozen_original/scripts/15_uts_nested_augmentation_selection.py,15583,25e5696d8a23c32905a4e677cc6b9468ad05bf71bf10f4bef746effe9bdd2906
code/frozen_original/scripts/16_proxy_feature_audit_sensitivity.py,20588,459dd67615cdac2d5f8e49b01ec21c3b5a2c1cf5a435b0ec3acb9bd3fa5feea9
code/frozen_original/scripts/17_ys_nested_proxy_selection.py,15272,843f0b91d9ac638c5bbaa10c2741b7d97f518c82e8cbee8c91f5a099ec6c6756
code/frozen_original/scripts/18_uts_oof_shap_stability.py,21497,801ae20e61643dccf840d7970a86f2a07cde492f2bf26931151080c6d1f7f9c8
code/frozen_original/scripts/19_uts_feature_drop_retrain.py,12664,6b25dab7c474ac178d8ad6929ec9d1d7e61e212d937f8d1f166a57940788c04f
code/frozen_original/scripts/20_uts_nested_sparse_feature_selection.py,19195,7dd49cdff12228fb6fd85b8cd1eddfab03b93d083dd507c6697777ccf8e2b179
code/frozen_original/scripts/21_uts_refined5_oof_shap.py,10076,9060e0acb5ba3d11471f2f46d8b2fd136818416d6f7e6ed49374f6a4182f5ee4
code/frozen_original/scripts/22_uts_refined5_credibility.py,22174,4480bc1857eb2ce313e774efe1f6f2281fe5cbe3eceacc609ceb6a08afff04dd
code/frozen_original/scripts/23_uts_outlier_source_audit.py,17271,796c08905cfd902213ed7d35546ccd5e1ba1cf0d077ed47244829f06fea3b0b8
code/frozen_original/scripts/24_uts_hierarchical_source_validation.py,11492,d1b79a8f434e5b2576bf0e77d57f5abd7257f139bf2807a119613f750dbc7238
code/frozen_original/scripts/25_uts_systematic_scope_audit.py,18559,33043b7c7b50823eb400e1ef70dd7c860c47bc2331abfdd144ede87aa4451e7f
code/frozen_original/scripts/26_uts_scope_clean_oof_shap.py,13413,7fcd81cc7a65552dd1f26921a9eb6ad138840dbbdc9d2d0085dd8060db68648b
code/frozen_original/scripts/27_uts_scope_clean_credibility.py,18413,1e2b96cef5ed28a9cee916d7d8e341b16e377a90aa3bcbaa2cddda5e40fe601b
code/frozen_original/scripts/28_ys_el_scope_audit_and_retrain.py,14606,37263b7ee08f8290ab416dfcd8ec860564dfd96242e6611d5176e05d778a0bea
code/frozen_original/scripts/29_ys_el_sparse_feature_ablation.py,7884,ef60eef571a35fbff46f34d2f3509efabde12608c9db88cd4b16d7ef5e006334
code/frozen_original/scripts/30_ys_nested_sparse_feature_selection.py,15228,2f395cd53f616f8cd123e91640c2dda9eae626fe087fe7760f4534c44fbf951b
code/frozen_original/scripts/31_scope_clean_partial_label_mtl.py,13088,af3bcdaa3b47b8fe3af328ae72ff6d2034738e95ddb49496d0d6cdf0e366afa4
code/frozen_original/scripts/32_matched_subset_final_robustness.py,21074,a30cd3c2853ab6d2265a689285ad672891cf433dcf78e100cf4f769791e78c78
code/frozen_original/scripts/33_verify_matched_subset_outputs.py,4501,6f152730292a3aa98d28aa6a1613cb13eb94fa1e36805e0f404782e5dee1aaa2
code/frozen_original/scripts/34_generate_paper_results_v1.py,26981,4e3aa4b019a997d267c7b5ee2f05056d257bc5c8f5f9c5c5b136217985aa7e5f
code/frozen_original/scripts/35_build_paper_results_workbook.mjs,9609,6a820efe4c3a9e7946563fd4a1ee66735cab47b4d76f623800256c3d94187417
code/frozen_original/scripts/36_make_workbook_preview_contact_sheets.py,836,3213d572ee952326904a13c1bb31ea6b102141473887525269165035d8022339
code/frozen_original/scripts/37_verify_paper_results_v1.py,3476,3948f077098ff77f4ba3350a41ee2e853cd4fc48057049e90d6db919274ffea4
code/frozen_original/scripts/38_generate_paper_figures_v2_no_grid.py,17627,75046d79066da318e6f7a8ede65e6e623ffa015a2360f912880244325edafeb9
code/frozen_original/scripts/39_verify_paper_figures_v2.py,2250,fc290fd54c240bc2c37bfed36a8286bd0bff6c91545beec5485d268504377677
code/frozen_original/scripts/40_scope_clean_final_rebuild.py,21630,90f0855bd66dc051b11bce50b73793b79a3284565441b1d0bea6f8fa37e4e7e6
code/frozen_original/scripts/41_build_prewriting_workbook.mjs,44878,4f8568a4842b8926697b5cdab2b3641fedd892c5aaaa1387792e6ac8a32776af
code/frozen_original/scripts/42_freeze_submission_assets.py,31290,b738b3f6bca12e4a5f998420c8db326eadce50dbf035c238c27488cbe468f400
code/frozen_original/scripts/43_make_reference_contact_sheets.py,921,343cad892c842e9fb98d85889519e90645b8af4d2a036add2579c1d29189da5c
